rule_id,rule_kind,condition_json,target_product_id,target_plan_filter_json,score,message_th,status
SYS-R01,system,"{""existing_solar"":true}",SOLAR-0008,,100,"ลูกค้ามี Solar เดิม แนะนำเพิ่มแบต 7 kWh",active
SYS-R02,system,"{""existing_solar"":true,""bill"":{"">="":4000}}",SOLAR-0009,,100,"มี Solar เดิม ค่าไฟยังสูง แนะนำเพิ่มแบต 14 kWh",active
SYS-R03,system,"{""bill"":{""<"":2000}}",SOLAR-0001,,90,"ค่าไฟไม่สูงมาก แนะนำ Solar 3 kWp on-grid (ค่าใช้จ่ายเริ่มต้นต่ำ)",active
SYS-R04,system,"{""bill"":{"">="":2000,""<"":3500},""day_fraction"":{"">="":0.4}}",SOLAR-0002,,100,"ค่าไฟ 2-3.5 พัน ใช้ไฟกลางวันมาก เหมาะกับ Solar 5 kWp on-grid",active
SYS-R05,system,"{""bill"":{"">="":2000,""<"":3500},""day_fraction"":{""<"":0.3}}",SOLAR-0004,,90,"ค่าไฟ 2-3.5 พัน ใช้ไฟกลางคืนเยอะ พิจารณา Hybrid 7 kWp + แบต",active
SYS-R06,system,"{""bill"":{"">="":3500,""<"":6000},""phase"":1}",SOLAR-0004,,100,"ค่าไฟ 3.5-6 พัน 1 เฟส แนะนำ Hybrid 7 kWp 1 เฟส + แบต 9.6 kWh",active
SYS-R07,system,"{""bill"":{"">="":3500,""<"":6000},""phase"":3}",SOLAR-0006,,100,"ค่าไฟ 3.5-6 พัน 3 เฟส แนะนำ Hybrid 7 kWp 3 เฟส + แบต 9.6 kWh",active
SYS-R08,system,"{""bill"":{"">="":6000},""phase"":1}",SOLAR-0005,,100,"ค่าไฟ 6 พัน+ 1 เฟส แนะนำ Hybrid 10 kWp 1 เฟส + แบต",active
SYS-R09,system,"{""bill"":{"">="":6000},""phase"":3}",SOLAR-0007,,100,"ค่าไฟ 6 พัน+ 3 เฟส แนะนำ Hybrid 10 kWp 3 เฟส + แบต",active
SYS-R10,system,"{""bill"":{"">="":2000,""<"":3500},""day_fraction"":{"">="":0.3,""<"":0.4}}",SOLAR-0002,,75,"ค่าไฟ 2-3.5 พัน ใช้ไฟกลางวันปานกลาง เสนอ on-grid เทียบกับ hybrid",active
SYS-R11,system,"{""bill"":{"">="":2000,""<"":3500},""day_fraction"":{"">="":0.3,""<"":0.4}}",SOLAR-0004,,70,"ค่าไฟ 2-3.5 พัน ใช้ไฟกลางวันปานกลาง พิจารณา Hybrid เป็นทางเลือก",active
FIN-R01,financing,"{""want_cash"":true}","{""financing_type"":""cash""}",100,"ลูกค้าจ่ายเงินสด ไม่มีดอกเบี้ย",active
FIN-R02,financing,"{""want_tax_deduction"":true,""has_home_collateral"":true}","{""tax_deduction_eligible"":true,""financing_type"":""home_equity""}",100,"ลูกค้าต้องการลดหย่อนภาษี + มีบ้านค้ำ → Home Equity Loan",active
FIN-R03,financing,"{""prefer_short_low_interest"":true,""has_home_collateral"":false}","{""financing_type"":""personal_loan"",""sort"":""total_interest_asc""}",95,"ลูกค้าอยากผ่อนสั้น ดอกถูก + ไม่ใช้บ้านค้ำ → Personal Loan ดอกต่ำสุด",active
FIN-R04,financing,"{""prefer_long_low_monthly"":true,""has_home_collateral"":true}","{""financing_type"":""home_equity"",""sort"":""monthly_installment_asc""}",95,"ลูกค้าอยากผ่อนยาว เบาเดือนละ + มีบ้านค้ำ → Home Equity 20 ปี",active
FIN-R05,financing,"{""has_credit_card"":true,""loan_amount"":{""<="":100000}}","{""financing_type"":""credit_card_installment""}",80,"ยอดไม่สูง + มีบัตรเครดิต → ผ่อนบัตรเครดิต (ปิดดีลเร็ว)",active
